TrendID,ProductGroupID,TrendDescription,TrendStartDate,TrendEndDate,MarketImpact,GrowthRate,TrendRegion,TrendCategory,CustomerInterestLevel,RevenueGenerated
1,5,Success half can son possible.,2024-04-13,2024-05-16,Neutral,13.71,Asia,Emerging,695,5270.3
2,2,For human lead today.,2024-06-18,2024-05-27,Neutral,9.27,Asia,Emerging,233,6063.0
3,1,Management fast simply somebody stock.,2024-02-14,2024-04-26,Positive,11.3,Asia,Emerging,644,7694.03
4,2,Energy within social win for.,2024-01-12,2024-05-03,Negative,9.8,Asia,Emerging,408,3710.94
5,3,Theory much past maintain performance try.,2024-05-14,2024-05-28,Positive,12.29,Europe,Emerging,379,2711.69
6,4,According those that back.,2024-02-27,2024-04-12,Positive,1.28,Asia,Mature,998,4496.49
7,3,West identify necessary either forward.,2024-03-17,2024-05-27,Negative,6.97,Asia,Emerging,72,6246.01
8,4,Not kid or.,2024-02-15,2024-06-01,Positive,14.97,Asia,Emerging,729,2330.63
9,1,Lay can size my government rate.,2024-04-23,2024-06-23,Neutral,12.4,Europe,Mature,68,2673.96
10,1,Artist play company card exactly change.,2024-05-16,2024-02-07,Negative,0.61,North America,Emerging,839,9537.43
11,3,Scientist beyond us smile.,2024-07-10,2024-02-17,Negative,13.44,Europe,Declining,496,6876.15
12,1,But believe through.,2024-03-03,2024-01-21,Negative,0.7,Europe,Mature,753,7531.74
13,4,Congress democratic son reduce democratic section detail.,2024-04-19,2024-08-12,Negative,4.3,Europe,Mature,555,9348.95
14,2,Industry game fire air professional apply general.,2024-01-01,2024-07-09,Neutral,8.78,Asia,Emerging,728,3387.33
15,1,Way song reduce outside run.,2024-06-18,2024-02-15,Neutral,8.78,North America,Emerging,435,2550.62
16,2,Area eat movement.,2024-01-27,2024-08-16,Negative,7.45,Europe,Emerging,65,7327.28
17,5,Ability explain little next half tonight.,2024-01-25,2024-05-08,Positive,14.59,Asia,Emerging,764,2552.1
18,4,Cultural drug thank.,2024-03-14,2024-04-22,Negative,5.22,North America,Declining,543,4934.38
19,1,Property about act performance compare.,2024-03-19,2024-01-12,Positive,6.94,Europe,Emerging,529,1549.97
20,5,Book Mr human into fall production buy strong.,2024-03-03,2024-03-30,Negative,14.54,North America,Declining,659,2608.66
21,3,Indeed song water herself meet determine.,2024-04-27,2024-07-09,Neutral,12.52,Europe,Emerging,592,8294.86
22,5,Across today late phone.,2024-07-17,2024-01-19,Neutral,6.53,North America,Emerging,443,8534.32
23,4,Edge customer gun prepare example morning service.,2024-06-24,2024-03-31,Neutral,12.0,Asia,Mature,733,3336.69
24,4,Forward dark hospital down maintain state lot.,2024-01-03,2024-01-28,Negative,7.64,Europe,Declining,849,7253.68
25,2,Past training tonight medical somebody think site.,2024-04-09,2024-04-10,Positive,1.27,North America,Emerging,536,7259.77
26,4,Learn recently key need season possible individual.,2024-06-08,2024-07-06,Positive,3.68,Asia,Mature,245,4474.42
27,5,Seat fish must despite.,2024-05-13,2024-01-29,Positive,7.7,Asia,Mature,775,5586.0
28,5,Audience enough investment hit.,2024-01-23,2024-06-27,Negative,13.76,North America,Emerging,795,8130.39
29,4,Interview crime tend black amount.,2024-03-29,2024-03-08,Negative,4.42,Asia,Mature,252,1878.32
30,3,Forget power use accept open.,2024-04-29,2024-02-13,Negative,11.74,Europe,Emerging,143,2543.56
31,2,Region trade next operation available treatment upon.,2024-02-18,2024-08-15,Negative,2.86,Asia,Mature,772,7227.54
32,5,Public behavior kitchen run rather place.,2024-02-23,2024-04-15,Negative,10.34,Asia,Mature,561,6812.73
33,5,Name cold attack experience also move policy.,2024-02-09,2024-06-29,Negative,2.65,Asia,Declining,787,5467.22
34,3,Government here bill view baby.,2024-04-19,2024-04-04,Neutral,1.86,North America,Declining,803,5070.16
35,4,Nearly economic power west talk gas need.,2024-05-02,2024-03-03,Negative,4.0,North America,Emerging,506,9025.13
36,4,Still argue teacher key cup bill would tough.,2024-05-22,2024-01-29,Negative,12.62,Europe,Mature,379,1344.55
37,4,Account each nearly president themselves in.,2024-06-27,2024-01-15,Neutral,14.61,North America,Mature,601,9435.19
38,1,Tell impact lot building upon.,2024-02-16,2024-05-13,Negative,1.92,North America,Emerging,687,7258.3
39,1,Yard point several throughout even.,2024-05-24,2024-05-13,Neutral,13.01,Asia,Emerging,969,6360.84
40,1,Total even simple identify increase.,2024-01-02,2024-04-26,Negative,3.76,Europe,Declining,642,9458.55
41,2,Civil practice institution nation but recently six church.,2024-07-11,2024-02-04,Neutral,6.09,North America,Emerging,74,6103.93
42,2,Tv way carry.,2024-04-23,2024-08-01,Negative,3.33,Asia,Emerging,458,4838.95
43,1,Check speech some gun range student during.,2024-07-20,2024-02-06,Neutral,5.73,North America,Declining,591,8311.06
44,3,Memory woman teach same.,2024-08-02,2024-01-20,Positive,10.51,Europe,Declining,551,9333.5
45,3,Future card industry poor job.,2024-03-09,2024-04-26,Negative,7.95,Asia,Emerging,361,2959.21
46,3,Whether it look decision.,2024-08-13,2024-06-24,Negative,13.1,Asia,Mature,200,4054.16
47,3,Smile make long case choice.,2024-04-15,2024-03-16,Neutral,4.4,North America,Mature,784,6843.66
48,5,Early hour anything compare food family always.,2024-04-29,2024-05-15,Positive,11.88,Europe,Emerging,989,2828.88
49,2,Return camera itself seem civil however.,2024-02-28,2024-02-27,Neutral,8.23,Europe,Mature,926,7986.7
50,5,Top season read Democrat participant across.,2024-07-12,2024-07-23,Neutral,14.19,North America,Declining,381,4148.81
51,1,Walk position statement similar bed skill.,2024-07-29,2024-07-14,Positive,2.94,Europe,Declining,527,9810.82
52,4,Door effort first throw.,2024-01-28,2024-03-02,Positive,1.85,North America,Mature,974,1212.02
53,1,Heavy treatment plant customer once tonight paper.,2024-03-28,2024-07-23,Positive,1.27,Asia,Declining,85,3249.77
54,5,Contain sit skill mouth.,2024-05-18,2024-03-23,Positive,8.69,North America,Mature,463,4005.29
55,5,Tv seek half want financial other.,2024-02-06,2024-08-01,Neutral,12.71,North America,Mature,940,6164.72
56,1,Key property middle amount hope could.,2024-03-04,2024-03-07,Negative,7.69,Europe,Mature,832,5703.87
57,1,Tv score whom necessary interest pretty want audience.,2024-02-14,2024-07-05,Neutral,5.25,North America,Declining,240,2801.7
58,2,Fly car environment speech.,2024-01-22,2024-03-21,Negative,12.61,North America,Emerging,403,7493.8
59,2,Data difficult class according church quite.,2024-01-08,2024-01-27,Negative,6.95,Asia,Mature,556,6915.51
60,1,All force attack itself list yet.,2024-01-08,2024-02-10,Negative,0.2,North America,Declining,780,2786.77
61,4,Sea community for realize cup.,2024-04-25,2024-06-15,Positive,12.17,Asia,Mature,540,5854.77
62,3,Knowledge writer heavy win.,2024-07-12,2024-01-23,Neutral,4.31,North America,Declining,861,2017.65
63,4,Energy focus animal include that standard west tell.,2024-05-19,2024-06-01,Negative,5.45,North America,Emerging,286,2867.67
64,4,In create less then.,2024-04-19,2024-01-24,Neutral,13.22,Asia,Mature,658,9910.37
65,5,Half time not economy machine position political.,2024-05-28,2024-04-26,Positive,2.46,Asia,Emerging,324,4446.8
66,2,National hand someone significant two have recent.,2024-05-31,2024-07-24,Neutral,7.16,North America,Emerging,804,9247.03
67,1,Soon wide still require grow.,2024-06-27,2024-07-25,Negative,11.6,Asia,Mature,492,5582.86
68,5,Much ability party conference action.,2024-06-20,2024-04-29,Negative,2.97,Europe,Mature,277,7857.35
69,3,Cause hard kid teacher in add buy.,2024-04-12,2024-02-22,Neutral,14.1,Asia,Declining,501,8593.84
70,4,System easy whom issue sometimes speak difficult.,2024-04-09,2024-08-11,Positive,4.91,North America,Declining,474,8765.66
71,1,Tax bring main sing majority.,2024-06-26,2024-04-05,Negative,1.32,North America,Mature,350,6491.74
72,5,Father crime different heart throw such.,2024-07-06,2024-06-01,Positive,2.4,Europe,Declining,364,3057.67
73,1,Get answer rise.,2024-05-01,2024-03-22,Negative,4.96,Europe,Declining,979,9016.12
74,5,Least food thank million main garden rich.,2024-02-12,2024-05-19,Negative,2.66,Europe,Declining,826,8934.14
75,4,Health soldier economy hand to stand.,2024-05-24,2024-01-27,Negative,11.47,Asia,Declining,533,4302.37
76,3,Next anything consider.,2024-07-22,2024-01-14,Negative,3.32,Asia,Mature,584,5839.93
77,2,Whole management would head fine start.,2024-04-11,2024-06-27,Neutral,3.82,North America,Declining,715,3942.42
78,3,Nothing ability expect probably seven cold boy lay.,2024-02-18,2024-02-22,Negative,12.35,Europe,Declining,382,2809.3
79,2,Military anything PM drop statement fund.,2024-06-18,2024-03-03,Negative,4.07,North America,Mature,992,1861.89
80,4,Person make institution citizen exist.,2024-01-23,2024-01-11,Positive,12.68,North America,Mature,586,6159.81
81,3,Sing popular doctor push citizen condition light.,2024-07-11,2024-02-10,Positive,0.75,Asia,Declining,297,8123.1
82,4,Threat international half.,2024-02-23,2024-07-13,Negative,9.16,North America,Mature,212,4412.04
83,5,Car kid build eye effect.,2024-01-29,2024-01-28,Positive,7.08,North America,Mature,184,7500.97
84,5,Would blue according important city letter deep.,2024-06-10,2024-05-04,Positive,10.52,North America,Mature,167,4653.32
85,1,Foot bring include Republican.,2024-02-24,2024-02-01,Negative,0.53,Asia,Declining,683,8725.12
86,2,Write community argue eat break.,2024-06-12,2024-06-13,Neutral,6.46,North America,Mature,552,9782.83
87,5,Growth season certain tell general American month.,2024-03-12,2024-01-22,Neutral,2.05,Europe,Mature,689,2296.13
88,1,Executive move sea put prove development environmental.,2024-02-06,2024-02-25,Negative,2.53,Asia,Declining,680,7609.06
89,5,Direction deep theory former detail.,2024-04-13,2024-01-22,Positive,2.4,Europe,Declining,749,6995.47
90,3,Every now movement.,2024-02-13,2024-04-10,Neutral,10.08,North America,Declining,836,4468.63
91,4,Information note interesting all agreement time.,2024-01-12,2024-08-17,Positive,3.35,Asia,Mature,513,7452.46
92,5,Performance heart hotel sometimes official soon possible.,2024-04-26,2024-01-04,Negative,0.28,North America,Declining,528,7399.49
93,2,Throw but agree.,2024-08-07,2024-02-16,Negative,13.6,Europe,Mature,534,3316.24
94,4,Religious loss item catch figure over message.,2024-04-21,2024-03-14,Negative,2.12,North America,Declining,577,3592.83
95,5,Year center data decide husband.,2024-04-21,2024-07-28,Neutral,10.93,Asia,Declining,849,9182.86
96,5,Class system I behavior care economy within know.,2024-05-06,2024-06-27,Negative,3.53,Europe,Mature,766,1858.16
97,1,Republican black matter plant way beautiful.,2024-04-10,2024-01-27,Negative,13.26,Asia,Declining,866,6134.85
98,2,Third I impact person hold.,2024-04-12,2024-02-21,Positive,12.66,North America,Emerging,180,7763.44
99,1,Everyone leg tend these seek certain you put.,2024-05-10,2024-07-26,Neutral,1.33,Asia,Emerging,323,8018.55
100,2,Last effort training somebody manage.,2024-02-10,2024-01-01,Neutral,7.71,Asia,Declining,88,9180.39
